Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Tester,Purchase to unlock 👆,Other / Unknown,3,Bandung,ID,Male,IDR,30000000,Net,Monthly,RSU so stonks.,Verified
Software Engineer,Purchase to unlock 👆,Other / Unknown,12,Banten,ID,Male,IDR,54000000,Gross,Monthly,*Vacation allowance = 1 month salary *Full medical coverage = rawat jalan (unlimited); rawat inap (up to 1.000.000 IDR/night) *Educational allowance = S1 (100% paid by company) ; S2 (75% paid by company),
Backend Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,16500000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,23500000,Gross,Monthly,"Insurance, work from home.",
Data Scientist,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,14600000,Net,Monthly,,
Data Scientist,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,14600000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,10,Tangerang,ID,Prefer not to tell,IDR,49000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Tangerang,ID,Male,IDR,13750000,Net,Monthly,Private insurance,
Frontend Engineer,Purchase to unlock 👆,Crowdsourcing,3,Bogor,ID,Male,IDR,21500000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Bekasi,ID,Male,IDR,6955000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,2,Surabaya,ID,Male,IDR,8500000,Net,Monthly,Travel reimbursement,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Yogyakarta,ID,Prefer not to tell,IDR,30000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Tangerang,ID,Male,IDR,8100000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Tangerang,ID,Male,IDR,8100000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Surabaya,ID,Male,IDR,4700000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,6,Tangerang,ID,Prefer not to tell,IDR,39000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,7650000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,6600000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Female,IDR,7500000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,5,Surabaya,ID,Prefer not to tell,IDR,7600000,Gross,Monthly,,
Data Analyst,Traveloka,Other / Unknown,1,Jakarta,ID,Male,IDR,14240000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,11000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Tangerang,ID,Prefer not to tell,IDR,5000000,Gross,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,8,Jakarta,ID,Prefer not to tell,IDR,18000000,Net,Monthly,15 dayoff,
Project Manager,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Male,IDR,37000000,Gross,Monthly,,Verified
Backend Engineer,Gojek,Other / Unknown,4,Bekasi,ID,Male,IDR,30900000,Net,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,5,Yogyakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,"Insurance, remote-work option",
Project Manager,Gojek,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,41000000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,18000000,Net,Monthly,Stock option as per request by employee,
Data Scientist,Traveloka,Other / Unknown,4,Tangerang,ID,Male,IDR,28000000,Net,Monthly,,
Data Scientist,Purchase to unlock 👆,Other / Unknown,1,Bandung,ID,Female,IDR,6500000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Bandung,ID,Male,IDR,5000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,12,Bogor,ID,Male,IDR,25000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,25000000,Net,Monthly,"- Corporate Flazz Card 700 Ribu , top up every week for toll & petrol - Pph21 Tax Refund , Company paid my salary tax",
Android Developer,Purchase to unlock 👆,Fintech,1,Jakarta,ID,Male,IDR,5500000,Net,Monthly,"Insurance, Transportation, Telecomunications",
Project Manager,Purchase to unlock 👆,Property Startup,6,Jakarta,ID,Male,IDR,28000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Fintech,0,Jakarta,ID,Male,IDR,12000000,Gross,Monthly,External Insurance,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,20000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Prefer not to tell,IDR,10000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,8000000,Net,Monthly,Private health insurance Gym Membership BPJS,
IT Support,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,10000000,Gross,Monthly,"Full health benefits, phone credits, transportation vouchers, PTO",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,15800000,Gross,Monthly,"Insurance, 12 days off",Verified
UI Designer,Purchase to unlock 👆,Other / Unknown,12,Bandung,ID,Male,IDR,40000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,0,Surabaya,ID,Male,IDR,5000000,Gross,Monthly,"LOP, insurance,",
UX Writer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Female,IDR,8500000,Gross,Monthly,"Health Insurance, Life Insurance",Verified
Data Scientist,Gojek,Other / Unknown,4,Jakarta,ID,Male,IDR,32500000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Semarang,ID,Male,IDR,3000000,Net,Monthly,,Verified
Project Manager,Gojek,Other / Unknown,4,Jakarta,ID,Female,IDR,14600000,Gross,Monthly,N/A,
Data Engineer,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Male,IDR,15000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Female,IDR,9000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,33000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Fintech,3,Jakarta,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"Private Insurance, Tax Benefit",
Data Engineer,Purchase to unlock 👆,Fintech,3,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,"Private Insurance, Tax Benefit",
Android Developer,Purchase to unlock 👆,Other / Unknown,13,Jakarta,ID,Prefer not to tell,IDR,38000000,Net,Monthly,Medical Insurance,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,7,Yogyakarta,ID,Prefer not to tell,IDR,10500000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Male,IDR,25989590,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,36700000,Gross,Monthly,RSU twice a year,
Project Manager,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,16400000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,9500000,Net,Monthly,"Stock Options, Private Insurance, laptop Ownership, Smartphone Ownership program, Unlimited leaves if there's covid or any danger medical situation, special leaves for family events",
Project Manager,Purchase to unlock 👆,Other / Unknown,11,Yogyakarta,ID,Male,IDR,39000000,Net,Monthly,,
Data Analyst,Traveloka,Other / Unknown,5,Tangerang,ID,Male,IDR,23000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,6,Bandung,ID,Female,IDR,15450000,Gross,Monthly,20 days annual leave,
Project Manager,Purchase to unlock 👆,Fintech,1,Jakarta,ID,Male,IDR,8500000,Net,Monthly,,
Project Manager,Gojek,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,35000000,Net,Monthly,,
Data Analyst,Gojek,Other / Unknown,1,Jakarta,ID,Female,IDR,8500000,Gross,Monthly,,
IT Support,Gojek,Other / Unknown,3,Jakarta,ID,Male,IDR,9600000,Gross,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,7725000,Net,Monthly,None,
IT Support,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Female,IDR,7000000,Net,Monthly,"BPJS, Medical, training, performance bonus, THR, lumsum",
Quality Assurance,Purchase to unlock 👆,Other / Unknown,3,Bandung,ID,Prefer not to tell,IDR,11000000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,10000000,Net,Monthly,,
Quality Assurance,Purchase to unlock 👆,Consultancy,3,Jakarta,ID,Female,IDR,12000000,Net,Monthly,"Transport allowance, 13th salary, yearly fixed bonus, performance bonus, medical insurance, maternity and glasses reimbursement, ESPP, parking reimbursement.",
Project Manager,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Female,IDR,5000000,Net,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,7,Banten,ID,Male,IDR,36000000,Gross,Monthly,,
IT Support,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Female,IDR,9000000,Gross,Monthly,,
Quality Assurance,Purchase to unlock 👆,Other / Unknown,6,Tangerang,ID,Male,IDR,15000000,Gross,Monthly,Meals,
Project Manager,Gojek,Other / Unknown,7,Jakarta,ID,Male,IDR,24000000,Net,Monthly,Communication + Transportation Compensation,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,6000000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,E-Commerce,4,Jakarta,ID,Male,IDR,9000000,Net,Monthly,,
Data Analyst,Traveloka,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,13000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,18000000,Gross,Monthly,"Tax Benefit, Private Health Insurance",
Android Developer,Purchase to unlock 👆,Edtech,5,Semarang,ID,Prefer not to tell,IDR,18500000,Net,Monthly,,
Project Manager,Gojek,Other / Unknown,6,Jakarta,ID,Prefer not to tell,IDR,25000000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Edtech,2,Yogyakarta,ID,Prefer not to tell,IDR,3000000,Gross,Monthly,Private Insurance,
UI Designer,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Prefer not to tell,IDR,3550000,Net,Monthly,,
UI Designer,Gojek,Other / Unknown,1,Jakarta,ID,Male,IDR,9000000,Gross,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,3,Jakarta,IQ,Male,IDR,14500000,Gross,Monthly,,
UX Writer,tiket.com,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,8000000,
UX Writer,tiket.com,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,8000000,
UX Writer,tokopedia,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
UX Writer,tokopedia,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,15000000,Gross,Monthly,,
UX Writer,tiket.com,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,15000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,13000000,Net,Monthly,,
Software Engineer,Tokopedia,Other / Unknown,2,Jakarta,ID,Male,IDR,12325000,Gross,Monthly,"Allowance, Bonus, Stock, Insurance",
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Female,IDR,13000000,Net,Monthly,,
Data Analyst,Gojek,Other / Unknown,2,Jakarta,ID,Female,IDR,11000000,Net,Monthly,Gopay 500k,
UX Writer,Purchase to unlock 👆,Bank,1,Jakarta,ID,Prefer not to tell,IDR,14750000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Female,IDR,26000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,E-Commerce,1,Jakarta,ID,Prefer not to tell,IDR,8500000,Gross,Monthly,Insurance; WFH; Transport benefits,
Project Manager,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,12000000,Net,Monthly,"Wfh, insurance, reimburse, flexible working time,",
Project Manager,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,32000000,Gross,Monthly,,
Project Manager,Gojek,Other / Unknown,9,Banten,ID,Female,IDR,37000000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Edtech,1,Yogyakarta,ID,Male,IDR,10000000,Net,Monthly,,
Project Manager,Lazada,Other / Unknown,5,Jakarta,ID,Prefer not to tell,IDR,20000000,Gross,Monthly,,
Quality Assurance,Gojek,Other / Unknown,2,Jakarta,ID,Male,IDR,8033000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,Fintech,3,Jakarta,ID,Male,IDR,12000000,Net,Monthly,,
